Param_1,Param_2,Param_3,Param_4,Param_5,Target
0.46524163,-2.357623236,-0.13104651,0.52378894,1.00817287,107.7681432
-0.797682517,0.442970314,0.379239921,-0.519158067,-0.779786198,-91.20831843
0.770896836,-2.022139704,0.409356076,-0.619879917,-0.852192306,-6.66980878
-0.921196375,0.934613125,-0.475569226,0.107272754,0.861482139,6.626969979
-0.844669304,2.203459123,-0.671139256,-0.139077047,-0.876412078,-100.0121697
0.923814087,0.320231986,-0.245854605,1.880234081,-1.053458307,39.53909221
-1.108008284,-0.346373176,-1.525336423,-0.439124416,0.841674342,-26.10027425
0.009861539,1.223873911,0.216191864,0.717940167,0.287720941,45.27084805
0.051227629,-1.323000016,0.724554889,-2.782470125,0.435255497,-15.7949338
0.690217455,0.540441099,0.541546275,-0.173192053,0.023085802,52.0903124
-0.193300037,1.16010454,0.044874928,-0.725874088,0.765076062,29.09141216
0.989353903,0.645695293,-0.10726208,-0.963718774,0.010442327,45.99565028
1.812123317,1.959134304,1.272983417,-0.087532508,1.662658361,223.2939523
0.831355068,1.323890655,2.262438588,-0.466691471,0.739279253,111.1671789
-0.043758589,-0.356934847,0.243292517,0.447017362,-0.396931355,-4.416360284
1.810037651,-1.558057725,0.972465279,-0.824277314,-0.950861823,47.96526599
1.299439082,-0.788945061,0.834674453,-2.083835166,-1.205880832,-25.59327466
-0.326424975,-2.039265837,-1.912441433,2.877547448,-1.95222926,-78.91098658
0.343228687,0.669145734,-0.0517977,0.374059438,-0.280858422,20.86488988
0.33219046,-1.617431093,-1.311732315,-0.044859078,-2.452230394,-129.7151546
-0.910319766,-0.511985749,-0.186578465,-0.239286741,0.390402869,-26.24607086
-0.646966633,-1.106738228,-1.148963604,0.857995155,1.090363181,47.09645368
0.012699179,0.391974333,1.072278492,0.288032243,0.650438642,64.91186341
1.533304852,-0.286299802,-1.831449854,-1.02043369,-1.618605483,-35.64931708
1.671220186,1.062442158,0.486168242,0.323729659,0.060533285,121.6041366
0.747472812,-1.440817498,1.325151772,-0.540070157,0.720753762,95.57452826
-0.460610807,-0.655285513,0.884005951,-0.463357815,-0.594955731,-55.18550918
0.410540841,-0.553401566,0.155271354,0.381959124,-0.668427404,3.337879779
0.685517718,1.197742211,1.210195075,1.470842581,0.41664355,116.993739
-0.312738775,1.375011204,-0.416653475,1.977027976,0.132498516,39.44859019
0.05948529,1.86946933,-0.803817103,-0.397964206,-0.358996743,-23.36836621
-0.48022979,-1.049434281,-0.871592617,-0.265288666,1.162688692,38.89744084
-1.577291941,0.649743695,0.416994183,-0.011605147,1.038291616,-15.93910813
0.338080191,0.865485027,-0.705995315,2.051530316,-0.92703516,13.09165442
-0.169408955,-0.457750851,1.368524905,-0.334212617,0.83564027,54.29283391
