,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
3295,26261,-0.324180366,-0.689664231,1.248250284,-3.099011163,-0.49222077299999994,-0.51412239,-0.36423820700000004,0.093090726,-1.850715718,0.553965174,-1.263078523,-1.6373318119999998,-0.546333603,-0.384194318,-0.245640108,0.202006021,-0.095357482,-0.163699701,-2.0800641890000002,-0.537506072,-0.106775334,-0.09271580199999999,0.11248970900000001,-0.5178353139999999,-0.732660766,-0.659780809,0.17373666,0.17814018,20.0,'0'
7239,77699,1.058978569,-0.635378266,1.075732847,0.728827966,-1.311239929,-0.193178615,-0.6250437679999999,-0.014118826999999999,-0.648844347,0.583767316,-0.050719524,0.832905479,1.211785614,-0.39124181799999996,0.41938413700000005,-1.936727204,0.35329688200000003,0.687149552,-1.706499108,-0.36138050299999996,-0.118992565,0.199729935,-0.041308556,0.618249281,0.386204118,-0.237575874,0.086712759,0.052510229000000005,90.0,'0'
4803,4250,1.015981892,0.254365413,0.620038758,1.494603567,0.470163144,1.255922431,-0.22679945899999998,0.295974721,1.411473143,-0.6644010920000001,1.5863168280000002,-1.126458705,2.24769865,1.4409912180000002,-0.113143575,-1.862875117,1.991808686,-2.413587883,-1.890317484,-0.310060595,-0.133387581,0.273829048,0.083819999,-0.666218987,0.38579822799999997,-0.274220652,0.07557605099999999,0.002012264,1.0,'0'
9098,57031,-7.705259637999999,3.369987983,-0.60688752,-1.489399266,-0.8817564809999999,-0.385142718,1.477335482,-0.85073071,6.524228044,8.417036012999999,0.558032093,0.669632951,0.381408168,-3.9313518689999998,-0.80172264,-1.414818406,-0.685289143,-1.9170265819999999,-1.591205832,2.10354276,-1.570803881,0.09575819699999999,0.00831918,0.42249371799999996,1.13996099,0.076691759,-0.418331364,-0.46555892600000004,30.32,'0'
9635,36803,1.009536913,0.07284244200000001,1.7148023680000002,2.4221024509999998,-0.8881830759999999,0.69416389,-0.957749752,0.49199343700000003,-0.206729406,0.781318533,1.2903573720000001,0.19641698,-0.8686629000000001,0.212834213,0.743377328,1.197507812,-0.777036368,0.565005821,-1.563101176,-0.19720211399999998,0.318224334,0.85149136,0.022457825,0.21040358399999998,0.0845712,0.11232398,0.051355530999999996,0.029777842000000002,12.16,'0'
1147,130668,-0.196289667,-0.01582068,0.050643401,-1.2622365979999999,0.144594218,1.4500886380000002,0.287860718,0.222185068,-0.739435262,0.380803691,-0.30887272600000004,0.227946289,0.505242858,-0.215787221,0.706833404,-2.64376423,0.8155970220000001,-0.90820681,-2.671470095,-0.8650534129999999,-0.165327852,0.23322929,0.28406985100000004,-1.387816016,-1.194849195,0.18992035699999998,-0.19022440899999998,0.030499486,92.46,'0'
10407,93951,-0.839226537,0.660658807,1.7878163219999998,-1.421336365,-0.11448431199999999,-0.593338288,0.33472815,-0.040269925,2.319010418,-1.5402088109999998,-0.639587948,-3.271783389,-0.032290455,1.2835093340000001,-1.109964723,0.5408716410000001,-0.165555479,0.6084279810000001,-1.526018881,-0.43280694700000005,0.092415402,0.437091021,-0.340779393,-0.09736854699999999,0.058877281,-0.105110299,-0.221874648,0.11075529099999999,5.0,'0'
7940,43750,0.506302084,-1.648510255,0.536946872,0.659705942,-1.150450543,0.978670154,-0.537985571,0.29388670100000003,-0.761922133,0.615760706,1.243390829,0.9359543770000001,0.287138316,0.052124115,0.150178331,-1.804301705,0.256281572,1.0698289090000002,-1.658832186,0.10262825699999999,0.072737143,0.11579038300000001,-0.30633166,-0.288029466,0.22443343,-0.216976173,0.043508074,0.076774779,350.0,'0'
9551,80621,1.10101472,0.554920042,0.9008903890000001,2.56800878,-0.27880289399999997,-0.37771411,0.06548343200000001,-0.015955904,-0.773971671,0.640359837,0.173842033,0.190841517,-0.022976066,0.33083282199999997,0.7492890729999999,0.267922267,-0.17244378800000001,-0.930342859,-1.566783924,-0.190185099,-0.0072613719999999994,-0.03898414,0.11394034300000001,0.5805290679999999,0.277592695,-0.077555933,0.008021718,0.027249696,7.56,'0'
2677,160322,-0.662865948,0.315906564,0.7854172979999999,2.255358567,0.684864644,1.42740758,1.131450473,0.281358735,-1.5358539709999999,0.576142354,-0.320314345,0.272579103,0.9950968790000001,-0.19226908899999998,-1.66821824,2.001556274,-2.030645684,0.957468312,-2.1690478090000003,0.36498665799999996,0.532339117,0.998121878,0.58335377,0.043339657000000004,-1.0505478659999998,-0.323207535,0.169218654,0.291976803,243.23,'0'
